Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,143,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,143,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,143,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,143,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,143,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,142,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(6F, 13F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,138,12,T:System.Windows.Forms.ColumnHeader,,,,,this.chName.Width = 100;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,138,12,P:System.Windows.Forms.ColumnHeader.Width,,,,,this.chName.Width = 100;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,137,12,T:System.Windows.Forms.ColumnHeader,,,,,"this.chName.Text = ""Name"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,137,12,P:System.Windows.Forms.ColumnHeader.Text,,,,,"this.chName.Text = ""Name"";"
